time,top_1,top_5
104.2708,False,False
104.3543,False,False
104.4377,False,False
104.5211,False,False
104.6045,False,False
104.6879,False,False
104.7713,False,False
104.8547,False,False
104.9382,False,False
105.0216,False,False
105.105,False,False
105.1884,False,False
